Date,Open,High,Low,Close,Adj Close,Volume
1993-07-20,0.959828,0.991071,0.919642,0.959828,0.907547,132977600
1993-07-21,0.937500,0.955357,0.910714,0.937500,0.886435,113976800
1993-07-22,0.946428,0.964285,0.919642,0.946428,0.894877,52794000
1993-07-23,0.937500,0.982142,0.928571,0.937500,0.886435,58416400
1993-07-26,0.959828,0.982142,0.928571,0.959828,0.907547,38206000
1993-07-27,0.946428,0.982142,0.937500,0.946428,0.894877,49652400
1993-07-28,0.959828,0.964285,0.937500,0.959828,0.907547,22948800
1993-07-29,0.973214,0.982142,0.955357,0.973214,0.920204,30343600
1993-07-30,0.991071,1.008928,0.964285,0.991071,0.937088,53611600
1993-08-02,1.017857,1.044642,1.000000,1.017857,0.962415,54076400
1993-08-03,1.035714,1.044642,1.026785,1.035714,0.979299,44119600
1993-08-04,1.080357,1.089285,1.035714,1.080357,1.021510,60748800
1993-08-05,1.053571,1.098214,0.946428,1.053571,0.996184,52371200
1993-08-06,1.044642,1.080357,1.044642,1.044642,0.987741,31480400
1993-08-09,1.062500,1.080357,1.035714,1.062500,1.004626,40353600
1993-08-10,1.017857,1.062500,1.008928,1.017857,0.962415,38194800
1993-08-11,0.982142,1.017857,0.964285,0.982142,0.928645,41742400
1993-08-12,0.946428,0.991071,0.928571,0.946428,0.894877,84543200
1993-08-13,0.977685,0.991071,0.937500,0.977685,0.924431,34703200
1993-08-16,0.982142,1.000000,0.973214,0.982142,0.929664,25611600
1993-08-17,1.013400,1.017857,0.973214,1.013400,0.959252,27045200
1993-08-18,1.017857,1.062500,1.008928,1.017857,0.963470,47180000
1993-08-19,0.982142,1.026785,0.982142,0.982142,0.929664,38032400
1993-08-20,1.000000,1.000000,0.964285,1.000000,0.946568,24984400
1993-08-23,1.013400,1.026785,0.982142,1.013400,0.959252,22794800
1993-08-24,1.000000,1.026785,0.991071,1.000000,0.946568,25314800
1993-08-25,0.973214,1.008928,0.955357,0.973214,0.921213,36442000
1993-08-26,0.959828,0.973214,0.946428,0.959828,0.908542,44035600
1993-08-27,0.946428,0.964285,0.937500,0.946428,0.895858,46642400
1993-08-30,0.928571,0.946428,0.924114,0.928571,0.878955,68434800
1993-08-31,0.946428,0.955357,0.928571,0.946428,0.895858,31967600
1993-09-01,0.928571,0.955357,0.919642,0.928571,0.878955,56392000
1993-09-02,0.919642,0.937500,0.901785,0.919642,0.870503,70562800
1993-09-03,0.919642,0.928571,0.901785,0.919642,0.870503,40734400
1993-09-07,0.937500,0.964285,0.919642,0.937500,0.887407,35884800
1993-09-08,0.955357,0.964285,0.928571,0.955357,0.904310,56658000
1993-09-09,0.928571,0.964285,0.928571,0.928571,0.878955,37382800
1993-09-10,0.937500,0.937500,0.906257,0.937500,0.887407,33622400
1993-09-13,0.901785,0.946428,0.883928,0.901785,0.853601,63946400
1993-09-14,0.866071,0.892857,0.857142,0.866071,0.819795,69160000
1993-09-15,0.875000,0.892857,0.839285,0.875000,0.828246,64430800
1993-09-16,0.883928,0.892857,0.866071,0.883928,0.836698,21490000
1993-09-17,0.901785,0.910714,0.866071,0.901785,0.853601,43008000
1993-09-20,0.888400,0.910714,0.883928,0.888400,0.840930,27759200
1993-09-21,0.875000,0.901785,0.852685,0.875000,0.828246,36624000
1993-09-22,0.910714,0.910714,0.866071,0.910714,0.862052,27622000
1993-09-23,0.883928,0.910714,0.875000,0.883928,0.836698,32737600
1993-09-24,0.892857,0.901785,0.875000,0.892857,0.845149,19143600
1993-09-27,0.883928,0.901785,0.866071,0.883928,0.836698,28305200
1993-09-28,0.883928,0.892857,0.866071,0.883928,0.836698,23637600
1993-09-29,0.852685,0.888400,0.848214,0.852685,0.807124,59186400
1993-09-30,0.834828,0.857142,0.821428,0.834828,0.790221,68726000
1993-10-01,0.812500,0.848214,0.803571,0.812500,0.769086,83997200
1993-10-04,0.812500,0.821428,0.785714,0.812500,0.769086,48210400
1993-10-05,0.839285,0.857142,0.821428,0.839285,0.794440,44077600
1993-10-06,0.843757,0.857142,0.834828,0.843757,0.798673,43820000
1993-10-07,0.821428,0.848214,0.812500,0.821428,0.777537,33726000
1993-10-08,0.808042,0.830357,0.794642,0.808042,0.764866,34851600
1993-10-11,0.848214,0.857142,0.812500,0.848214,0.802892,40286400
1993-10-12,0.857142,0.892857,0.848214,0.857142,0.811343,76585600
1993-10-13,0.857142,0.866071,0.839285,0.857142,0.811343,44251200
1993-10-14,0.848214,0.875000,0.839285,0.848214,0.802892,40171600
1993-10-15,1.008928,1.017857,0.875000,1.008928,0.955018,240895200
1993-10-18,1.013400,1.026785,0.991071,1.013400,0.959252,83249600
1993-10-19,0.991071,1.017857,0.973214,0.991071,0.938116,53158000
1993-10-20,0.991071,1.008928,0.973214,0.991071,0.938116,34602400
1993-10-21,1.080357,1.116071,0.973214,1.080357,1.022631,156777600
1993-10-22,1.080357,1.125000,1.062500,1.080357,1.022631,99019200
1993-10-25,1.071428,1.089285,1.058042,1.071428,1.014179,54782000
1993-10-26,1.062500,1.071428,1.035714,1.062500,1.005728,55619200
1993-10-27,1.133928,1.151785,1.062500,1.133928,1.073339,114766400
1993-10-28,1.107142,1.151785,1.107142,1.107142,1.047984,61115600
1993-10-29,1.098214,1.133928,1.089285,1.098214,1.039534,34216000
1993-11-01,1.125000,1.125000,1.080357,1.125000,1.064889,26493600
1993-11-02,1.169642,1.178571,1.107142,1.169642,1.107145,56061600
1993-11-03,1.129471,1.178571,1.107142,1.129471,1.069121,44240000
1993-11-04,1.151785,1.151785,1.098214,1.151785,1.090242,46342800
1993-11-05,1.138400,1.151785,1.098214,1.138400,1.077573,94508400
1993-11-08,1.098214,1.147328,1.089285,1.098214,1.039534,41734000
1993-11-09,1.075900,1.116071,1.062500,1.075900,1.018412,42812000
1993-11-10,1.098214,1.098214,1.071428,1.098214,1.039534,19244400
1993-11-11,1.120542,1.142857,1.089285,1.120542,1.060669,35607600
1993-11-12,1.133928,1.142857,1.089285,1.133928,1.073339,35915600
1993-11-15,1.142857,1.169642,1.125000,1.142857,1.081792,39275600
1993-11-16,1.214285,1.223214,1.133928,1.214285,1.149403,75770800
1993-11-17,1.196428,1.250000,1.169642,1.196428,1.132500,75656000
1993-11-18,1.196428,1.205357,1.178571,1.196428,1.132500,28602000
